stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ULTJ,"1. KZ: 9,086 lot (1.39B) [Mix] | Avg Buy: 1,528 | Avg Sell: 1,524
2. XL: 5,706 lot (873.04M) [Retail] | Avg Buy: 1,530
3. BK: 4,971 lot (760.52M) [Bandar] | Avg Buy: 1,530 | Avg Sell: 1,538
4. BB: 2,859 lot (437.14M) [Mix] | Avg Buy: 1,529
5. NI: 1,638 lot (251.00M) [Bandar] | Avg Buy: 1,532 | Avg Sell: 1,524","1. RX: 10,071 lot (1.54B) [Bandar] | Avg Sell: 1,527
2. YU: 5,398 lot (823.73M) [Bandar] | Avg Sell: 1,526
3. CC: 4,173 lot (636.89M) [Mix] | Avg Sell: 1,526
4. AK: 2,684 lot (410.40M) [Bandar] | Avg Sell: 1,529
5. KK: 2,559 lot (394.43M) [Bandar] | Avg Buy: 1,525 | Avg Sell: 1,537",-625,"Buyer: Mix 49%, Seller: Bandar 83% | Avg Buy Price: 1,530 | Avg Sell Price: 1,529",1529.8,1528.6666666666667,1525.0,1529.0
ALKA,"1. XL: 5,302 lot (335.09M) [Retail] | Avg Buy: 632
2. CC: 400 lot (27.10M) [Mix] | Avg Buy: 633 | Avg Sell: 595","1. NI: 2,927 lot (193.18M) [Bandar] | Avg Sell: 660
2. MG: 2,304 lot (141.72M) [Mix] | Avg Sell: 615
3. OD: 1,115 lot (67.66M) [Bandar] | Avg Sell: 607
4. PD: 279 lot (16.43M) [Mix] | Avg Sell: 589
5. GR: 25 lot (1.49M) [Bandar] | Avg Sell: 595",-948,"Buyer: Retail 93%, Seller: Bandar 61% | Avg Buy Price: 632 | Avg Sell Price: 613",632.5,595.0,,613.2
BEST,"1. GR: 116,863 lot (1.38B) [Bandar] | Avg Buy: 118
2. AZ: 32,516 lot (380.03M) [Retail] | Avg Buy: 117 | Avg Sell: 120
3. YU: 23,462 lot (277.00M) [Bandar] | Avg Buy: 118 | Avg Sell: 117
4. ZP: 17,897 lot (211.18M) [Bandar] | Avg Buy: 118
5. AK: 8,480 lot (101.41M) [Bandar] | Avg Buy: 119 | Avg Sell: 118","1. YP: 36,670 lot (432.35M) [Mix] | Avg Sell: 118
2. PC: 31,168 lot (363.15M) [Bandar] | Avg Sell: 117
3. YJ: 24,076 lot (289.64M) [Retail] | Avg Sell: 120
4. DR: 19,429 lot (232.40M) [Retail] | Avg Buy: 116 | Avg Sell: 119
5. CC: 15,396 lot (182.28M) [Mix] | Avg Sell: 118",72479,"Buyer: Bandar 84%, Seller: Mix 41% | Avg Buy Price: 118 | Avg Sell Price: 118",118.0,118.33333333333333,116.0,118.4
BMRI,"1. YU: 288,534 lot (145.15B) [Bandar] | Avg Buy: 5,030
2. BK: 203,535 lot (102.47B) [Bandar] | Avg Buy: 5,035
3. AK: 144,840 lot (72.62B) [Bandar] | Avg Buy: 5,017 | Avg Sell: 5,037
4. GR: 114,325 lot (57.17B) [Bandar] | Avg Buy: 5,005 | Avg Sell: 5,048
5. BB: 90,993 lot (45.97B) [Mix] | Avg Buy: 5,044 | Avg Sell: 5,017","1. ZP: 417,536 lot (208.27B) [Bandar] | Avg Buy: 5,052 | Avg Sell: 5,012
2. CC: 130,509 lot (65.64B) [Mix] | Avg Sell: 5,030
3. PD: 91,091 lot (45.68B) [Mix] | Avg Sell: 5,015
4. LG: 71,893 lot (36.28B) [Bandar] | Avg Buy: 5,022 | Avg Sell: 5,039
5. OD: 41,745 lot (21.08B) [Bandar] | Avg Buy: 5,008 | Avg Sell: 5,042",89453,"Buyer: Bandar 89%, Seller: Bandar 71% | Avg Buy Price: 5,026 | Avg Sell Price: 5,028",5026.2,5034.0,5027.333333333333,5027.6
BNII,"1. DP: 16,840 lot (370.48M) [Bandar] | Avg Buy: 220
2. CC: 2,273 lot (50.01M) [Mix] | Avg Buy: 220 | Avg Sell: 220
3. YU: 2,060 lot (45.32M) [Bandar] | Avg Buy: 220
4. MU: 1 lot (21,800) [Bandar] | Avg Buy: 218","1. XL: 5,084 lot (111.34M) [Retail] | Avg Sell: 219
2. GR: 3,420 lot (75.24M) [Bandar] | Avg Sell: 220
3. ZP: 1,998 lot (43.96M) [Bandar] | Avg Sell: 220
4. YP: 1,603 lot (35.44M) [Mix] | Avg Buy: 219 | Avg Sell: 220
5. XC: 1,363 lot (29.99M) [Retail] | Avg Sell: 220",7706,"Buyer: Bandar 89%, Seller: Retail 48% | Avg Buy Price: 220 | Avg Sell Price: 220",219.5,220.0,219.0,219.8
CLPI,"1. MG: 619 lot (96.94M) [Mix] | Avg Buy: 1,566
2. XL: 221 lot (33.90M) [Retail] | Avg Buy: 1,544 | Avg Sell: 1,556
3. CD: 21 lot (3.19M) [Bandar] | Avg Buy: 1,520
4. TF: 14 lot (2.20M) [Retail] | Avg Buy: 1,570","1. KK: 201 lot (31.16M) [Bandar] | Avg Sell: 1,550
2. OD: 149 lot (23.19M) [Bandar] | Avg Sell: 1,557
3. PD: 135 lot (20.93M) [Mix] | Avg Sell: 1,550
4. CC: 105 lot (16.09M) [Mix] | Avg Sell: 1,532
5. GR: 97 lot (15.08M) [Bandar] | Avg Sell: 1,555",188,"Buyer: Mix 71%, Seller: Bandar 65% | Avg Buy Price: 1,550 | Avg Sell Price: 1,549",1550.0,1556.0,,1548.8
INDY,"1. PD: 35,985 lot (13.15B) [Mix] | Avg Buy: 3,653
2. ZP: 34,052 lot (12.41B) [Bandar] | Avg Buy: 3,644
3. XL: 26,242 lot (9.58B) [Retail] | Avg Buy: 3,652
4. NI: 17,541 lot (6.43B) [Bandar] | Avg Buy: 3,664
5. RF: 17,009 lot (6.16B) [Bandar] | Avg Buy: 3,621","1. AK: 75,381 lot (27.60B) [Bandar] | Avg Sell: 3,662
2. BK: 64,976 lot (23.73B) [Bandar] | Avg Sell: 3,652
3. CC: 15,139 lot (5.49B) [Mix] | Avg Buy: 3,662 | Avg Sell: 3,634
4. MG: 13,010 lot (4.72B) [Mix] | Avg Sell: 3,632
5. AZ: 9,071 lot (3.30B) [Retail] | Avg Sell: 3,643",-46748,"Buyer: Bandar 52%, Seller: Bandar 79% | Avg Buy Price: 3,647 | Avg Sell Price: 3,645",3646.8,,3662.0,3644.6
INTD,"1. SQ: 6,973 lot (209.89M) [Bandar] | Avg Buy: 301
2. IN: 469 lot (12.66M) [Bandar] | Avg Buy: 270","1. XL: 3,972 lot (119.16M) [Retail] | Avg Sell: 300
2. YP: 3,413 lot (97.61M) [Mix] | Avg Sell: 286
3. AZ: 92 lot (2.67M) [Retail] | Avg Sell: 290
4. GI: 1 lot (30,600) [Bandar] | Avg Sell: 306",-36,"Buyer: Bandar 100%, Seller: Retail 54% | Avg Buy Price: 286 | Avg Sell Price: 296",285.5,,,295.5
JSMR,"1. NI: 20,740 lot (7.78B) [Bandar] | Avg Buy: 3,749
2. KZ: 15,119 lot (5.66B) [Mix] | Avg Buy: 3,743
3. ZP: 8,811 lot (3.32B) [Bandar] | Avg Buy: 3,764
4. BK: 6,758 lot (2.56B) [Bandar] | Avg Buy: 3,777 | Avg Sell: 3,736
5. TP: 6,025 lot (2.29B) [Bandar] | Avg Buy: 3,790 | Avg Sell: 3,740","1. PD: 12,421 lot (4.67B) [Mix] | Avg Sell: 3,757
2. YP: 9,051 lot (3.42B) [Mix] | Avg Buy: 3,738 | Avg Sell: 3,779
3. DX: 8,353 lot (3.16B) [Bandar] | Avg Sell: 3,784
4. SQ: 6,840 lot (2.59B) [Bandar] | Avg Buy: 3,726 | Avg Sell: 3,791
5. KK: 6,549 lot (2.45B) [Bandar] | Avg Sell: 3,743",14239,"Buyer: Bandar 74%, Seller: Bandar 50% | Avg Buy Price: 3,765 | Avg Sell Price: 3,771",3764.6,3738.0,3732.0,3770.8
JTPE,"1. CC: 37,682 lot (2.26B) [Mix] | Avg Buy: 599 | Avg Sell: 622
2. AK: 3,420 lot (206.22M) [Bandar] | Avg Buy: 603
3. IN: 2,514 lot (154.87M) [Bandar] | Avg Buy: 616
4. SA: 1,932 lot (118.25M) [Bandar] | Avg Buy: 612
5. DU: 1,386 lot (85.07M) [Bandar] | Avg Buy: 614","1. IH: 14,741 lot (873.90M) [Mix] | Avg Buy: 623 | Avg Sell: 597
2. EL: 14,086 lot (842.11M) [Bandar] | Avg Sell: 598
3. LG: 6,416 lot (396.51M) [Bandar] | Avg Sell: 618
4. AZ: 3,894 lot (233.80M) [Retail] | Avg Buy: 616 | Avg Sell: 604
5. PI: 2,701 lot (167.31M) [Retail] | Avg Buy: 606 | Avg Sell: 619",5096,"Buyer: Mix 80%, Seller: Bandar 49% | Avg Buy Price: 609 | Avg Sell Price: 607",608.8,622.0,615.0,607.2
