stock,top5_buyers,top5_sellers,net_volume,daily_summary
ABMM,"• KK | 2.2k | 607.98mio | Avg: 2.713 | Bandar
• SQ | 974 | 264.83mio | Avg: 2.719 | Bandar
• DH | 904 | 255.83mio | Avg: 2.830 | Bandar
• XL | 908 | 251.61mio | Avg: 2.771 | Retail
• AK | 816 | 222.44mio | Avg: 2.726 | Bandar","• YP | 1.5k | 414.71mio | Avg: 2.741 | Mix
• NI | 1.5k | 402.99mio | Avg: 2.646 | Bandar
• PD | 1.4k | 371.01mio | Avg: 2.730 | Mix
• GR | 837 | 222.89mio | Avg: 2.663 | Bandar
• XC | 722 | 191.33mio | Avg: 2.650 | Retail",-111,"Buyer: Bandar 84%, Seller: Mix 48%"
ACST,"• AI | 17.5k | 208.40mio | Avg: 119 | Bandar
• II | 10.0k | 120.00mio | Avg: 120 | Mix
• YP | 8.9k | 110.76mio | Avg: 125 | Mix
• EP | 8.4k | 102.23mio | Avg: 121 | Mix
• AO | 7.1k | 84.07mio | Avg: 119 | Bandar","• XL | 82.7k | 1.00bio | Avg: 121 | Retail
• KK | 6.5k | 78.38mio | Avg: 120 | Bandar
• NI | 4.5k | 54.26mio | Avg: 120 | Bandar
• CP | 3.4k | 40.10mio | Avg: 119 | Mix
• BQ | 2.9k | 35.98mio | Avg: 124 | Bandar",-48187,"Buyer: Mix 53%, Seller: Retail 83%"
AKRA,"• YP | 15.6k | 1.85bio | Avg: 1.182 | Mix
• SQ | 15.1k | 1.80bio | Avg: 1.194 | Bandar
• XL | 14.3k | 1.71bio | Avg: 1.192 | Retail
• NI | 9.8k | 1.17bio | Avg: 1.185 | Bandar
• KK | 7.8k | 915.51mio | Avg: 1.181 | Bandar","• ZP | 44.4k | 5.31bio | Avg: 1.197 | Bandar
• AK | 43.1k | 5.06bio | Avg: 1.175 | Bandar
• YB | 8.2k | 943.19mio | Avg: 1.157 | Retail
• BK | 7.6k | 908.56mio | Avg: 1.201 | Bandar
• DP | 4.8k | 564.48mio | Avg: 1.176 | Bandar",-45375,"Buyer: Bandar 52%, Seller: Bandar 92%"
ANTM,"• KZ | 253.5k | 107.50bio | Avg: 4.240 | Mix
• XL | 170.5k | 71.04bio | Avg: 4.167 | Retail
• AZ | 113.4k | 47.53bio | Avg: 4.192 | Retail
• YU | 110.5k | 46.55bio | Avg: 4.213 | Bandar
• TP | 107.2k | 46.00bio | Avg: 4.292 | Bandar","• ZP | 1.2mio | 512.74bio | Avg: 4.167 | Bandar
• AK | 196.6k | 82.86bio | Avg: 4.214 | Bandar
• EP | 76.2k | 30.49bio | Avg: 4.001 | Mix
• GR | 23.7k | 9.33bio | Avg: 3.935 | Bandar
• BK | 13.2k | 5.66bio | Avg: 4.283 | Bandar",-785205,"Buyer: Retail 38%, Seller: Bandar 95%"
ASDM,"• XL | 1.1k | 60.39mio | Avg: 551 | Retail
• DH | 311 | 16.98mio | Avg: 546 | Bandar
• PD | 190 | 11.21mio | Avg: 590 | Mix","• ZP | 1.5k | 82.00mio | Avg: 547 | Bandar
• YB | 452 | 25.22mio | Avg: 558 | Retail",-354,"Buyer: Retail 69%, Seller: Bandar 77%"
BDMN,"• YU | 10.1k | 2.48bio | Avg: 2.450 | Bandar
• KK | 1.9k | 464.63mio | Avg: 2.448 | Bandar
• XL | 1.7k | 412.00mio | Avg: 2.415 | Retail
• OD | 1.4k | 340.84mio | Avg: 2.402 | Bandar
• GR | 959 | 228.24mio | Avg: 2.380 | Bandar","• TP | 8.5k | 2.09bio | Avg: 2.450 | Bandar
• PD | 3.9k | 949.01mio | Avg: 2.444 | Mix
• ZP | 2.7k | 655.52mio | Avg: 2.410 | Bandar
• CC | 1.9k | 461.48mio | Avg: 2.425 | Mix
• BK | 1.3k | 311.47mio | Avg: 2.422 | Bandar",-2236,"Buyer: Bandar 89%, Seller: Bandar 68%"
BGTG,"• AZ | 128.7k | 1.60bio | Avg: 124 | Retail
• ZP | 102.5k | 1.28bio | Avg: 125 | Bandar
• BK | 69.7k | 850.18mio | Avg: 122 | Bandar
• CC | 40.5k | 502.63mio | Avg: 124 | Mix
• AK | 23.1k | 283.86mio | Avg: 123 | Bandar","• YP | 97.2k | 1.19bio | Avg: 122 | Mix
• PD | 71.8k | 904.58mio | Avg: 126 | Mix
• LG | 35.3k | 408.95mio | Avg: 116 | Bandar
• DR | 23.1k | 300.08mio | Avg: 130 | Retail
• NI | 16.5k | 209.83mio | Avg: 127 | Bandar",120648,"Buyer: Bandar 54%, Seller: Mix 69%"
BIPI,"• XL | 92.5k | 1.66bio | Avg: 179 | Retail
• IF | 70.6k | 1.26bio | Avg: 179 | Mix
• GR | 52.4k | 937.83mio | Avg: 179 | Bandar
• CC | 49.9k | 893.64mio | Avg: 179 | Mix
• BQ | 35.0k | 626.50mio | Avg: 179 | Bandar","• MG | 343.8k | 6.15bio | Avg: 179 | Mix
• LG | 54.5k | 974.85mio | Avg: 179 | Bandar
• BB | 15.0k | 268.50mio | Avg: 179 | Mix
• YB | 10.2k | 183.47mio | Avg: 179 | Retail
• SQ | 8.2k | 147.12mio | Avg: 179 | Bandar",-131267,"Buyer: Mix 40%, Seller: Mix 83%"
BISI,"• CC | 920 | 75.53mio | Avg: 821 | Mix
• YP | 859 | 69.24mio | Avg: 806 | Mix
• ES | 25 | 1.98mio | Avg: 790 | Mix","• XL | 1.1k | 91.98mio | Avg: 822 | Retail
• NI | 558 | 44.97mio | Avg: 806 | Bandar
• AZ | 370 | 30.97mio | Avg: 837 | Retail
• XC | 272 | 22.55mio | Avg: 829 | Retail",-515,"Buyer: Mix 100%, Seller: Retail 76%"
BKSL,"• IF | 1.7mio | 26.37bio | Avg: 152 | Mix
• MG | 544.1k | 7.62bio | Avg: 140 | Mix
• BQ | 453.0k | 6.34bio | Avg: 140 | Bandar
• NI | 321.6k | 4.60bio | Avg: 143 | Bandar
• YU | 260.9k | 3.81bio | Avg: 146 | Bandar","• CP | 641.7k | 9.05bio | Avg: 141 | Mix
• XL | 624.3k | 8.87bio | Avg: 142 | Retail
• CC | 503.6k | 7.30bio | Avg: 145 | Mix
• AK | 428.5k | 6.26bio | Avg: 146 | Bandar
• IN | 301.0k | 4.21bio | Avg: 140 | Bandar",815402,"Buyer: Mix 69%, Seller: Mix 46%"
